region_name,municipality_name,municipality_code,process_name,process_code
Nord-du-Québec,KUUJJUAQ,99095-1,Étangs non aérés,ENA
Nord-du-Québec,KUUJJUARAPIK,99075-1,Étangs aérés,EA
Nord-du-Québec,LEBEL-SUR-QUÉVILLON,99005-1,Étangs aérés,EA
Nord-du-Québec,MATAGAMI,99015-1,Boues activées,BA
Nord-du-Québec,QUAQTAQ,99115-1,Étangs non aérés,ENA
Nord-du-Québec,TASIUJAQ,99100-1,Étangs non aérés,ENA
Nord-du-Québec,UMIUJAQ,99080-1,Étangs non aérés,ENA
Outaouais,BOUCHETTE,78430-1,Disques biologiques,BD
Outaouais,CAMPBELL'S-BAY,80260-1,Disques biologiques,BD
Outaouais,CANTLEY (LAFORTUNE),82020-1,Étangs aérés,EA
Outaouais,CHELSEA (FARM POINT),82025-3,Étangs aérés,EA
Outaouais,FASSETT,80005-1,Étangs à rétention réduite,ERR
Outaouais,FORT-COULONGE,84060-1,Étangs aérés,EA
Outaouais,GATINEAU,00079-1,Boues activées,BA
Outaouais,GATINEAU (MASSON-ANGERS),81010-1,Étangs aérés,EA
Outaouais,GRACEFIELD,83032-1,Étangs à rétention réduite,ERR
Outaouais,L'ISLE-AUX-ALLUMETTES (CHAPEAU),80350-1,Disques biologiques,BD
Outaouais,LA PÊCHE (WAKEFIELD),82035-1,Étangs aérés,EA
Outaouais,LAC-SAINTE-MARIE,83020-1,Boues activées,BA
Outaouais,MANIWAKI,78590-1,Étangs aérés,EA
Outaouais,MONTEBELLO,80010-1,Étangs à rétention réduite,ERR
Outaouais,NOTRE-DAME-DE-LA-SALETTE,82010-1,Étangs aérés,EA
Outaouais,NOTRE-DAME-DU-PORTAGE,12080-1,Segflo et Filtre Ecoflex,SFE
Outaouais,PAPINEAUVILLE,75240-1,Étangs aérés,EA
Outaouais,PLAISANCE,75280-1,Étangs aérés,EA
Outaouais,PONTIAC (QUYON),82030-1,Étangs aérés,EA
Outaouais,SAINT-ANDRÉ-AVELLIN,80025-1,Étangs aérés,EA
Outaouais,SAINT-ANTONIN 2010 (RIVIÈRE-VERTE),12015-3,Étangs aérés,EA
Outaouais,SHAWVILLE,84010-1,Boues activées,BA
Outaouais,THURSO (PAPIERS FRASER),80050-1,Boues activées,BA
Outaouais,VAL-DES-MONTS (PERKINS),82015-1,Filtres intermittents à recirculation,FIR
Saguenay--Lac-Saint-Jean,ALBANEL,90310-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,ALMA,93480-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,ALMA (GRANDE DÉCHARGE),93480-2,Fosse septique,FS
Saguenay--Lac-Saint-Jean,ALMA (ISLE MALIGNE),93480-3,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,ALMA (SAINT-COEUR-DE-MARIE),93530-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,BÉGIN,94250-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,CHAMBORD,90160-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,DESBIENS(CHAMBORD),90160-2,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,DOLBEAU-MISTASSINI (DOLBEAU),90290-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,DOLBEAU-MISTASSINI (MISTASSINI),90275-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,GIRARDVILLE,92505-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,HÉBERTVILLE,93020-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,HÉBERTVILLE-STATION,93025-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,L'ANSE-SAINT-JEAN,94010-1,Dégrillage fin,DEG
Saguenay--Lac-Saint-Jean,L'ASCENSION-DE-NOTRE-SEIGNEUR,93065-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,LA DORÉ,91050-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,LAC-BOUCHETTE,90110-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,LAMARCHE,93060-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,LAROUCHE,94440-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,MÉTABETCHOUAN (LAC-A-LA-CROIX),93240-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,MÉTABETCHOUAN (MÉTABETCHOUAN),93320-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,NORMANDIN,92040-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,PÉRIBONKA,90270-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,PETIT-SAGUENAY,94205-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,ROBERVAL,90170-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAGUENAY (CHICOUTIMI),94300-1,Boues activées,BA
Saguenay--Lac-Saint-Jean,SAGUENAY (JONQUIÈRE),94420-1,Boues activées,BA
Saguenay--Lac-Saint-Jean,SAGUENAY (LA BAIE),94190-1,Boues activées,BA
Saguenay--Lac-Saint-Jean,SAGUENAY (LATERRIÈRE),94230-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAGUENAY (LE NORVÉGIEN),94068-3,Bionest,BION
Saguenay--Lac-Saint-Jean,SAGUENAY (SAINT-JEAN-BAPTISTE),94300-2,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAGUENAY (SHIPSHAW-NORD),94490-2,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAGUENAY (SHIPSHAW-SUD),94490-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-AMBROISE,94090-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-AUGUSTIN (LAC-SAINT-JEAN),92005-1,Étangs non aérés,ENA
Saguenay--Lac-Saint-Jean,SAINT-BRUNO,93030-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-CHARLES-DE-BOURGET,94085-1,Dégrillage fin,DEG
Saguenay--Lac-Saint-Jean,SAINT-DAVID-DE-FALARDEAU,94600-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-DAVID-DE-FALARDEAU (LE VALINOUËT),94245-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-FÉLICIEN,90350-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-FÉLICIEN (ST-MÉTHODE),90280-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-FÉLIX-D'OTIS,94180-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-FRANÇOIS-DE-SALES,90150-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-FULGENCE,94035-1,Dégrillage fin,DEG
Saguenay--Lac-Saint-Jean,SAINT-GÉDÉON (LSJ),93360-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-HONORÉ,94510-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-HONORÉ (TREMBLAY),94500-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-NAZAIRE,93045-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-PRIME,90190-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINT-STANISLAS (LAC-SAINT-JEAN),92070-1,Étangs non aérés,ENA
Saguenay--Lac-Saint-Jean,SAINTE-HEDWIDGE,90180-1,Étangs aérés,EA
Saguenay--Lac-Saint-Jean,SAINTE-JEANNE-D'ARC,90260-1,Étangs aérés,EA
