,region_name,municipality_name,installation_name,installation_code,latitude,longitude,process_name,process_code
216,Outaouais,Fort-Coulonge,Station de purification Fort-Coulonge (post.chl.),X0009273,45.8410995,-76.7364529,Charbon,CHB
217,Chaudière-Appalaches,Lévis,Installation de production St-Romuald,X0010478,46.7910096,-71.1753274,Chloration,CHL
218,Chaudière-Appalaches,Lévis,Installation de production St-Romuald,X0010478,46.7910096,-71.1753274,Filtration,FIL
219,Chaudière-Appalaches,Lévis,Installation de production St-Romuald,X0010478,46.7910096,-71.1753274,Ozonation,OZ
220,Chaudière-Appalaches,Lévis,Installation de production St-Romuald,X0010478,46.7910096,-71.1753274,Ultraviolet,UB
221,Montréal,Dorval,Station de purification Dorval (usine),X0008924,45.4453082,-73.7510888,Chloration,CHL
222,Montréal,Dorval,Station de purification Dorval (usine),X0008924,45.4453082,-73.7510888,Filtration,FIL
223,Montréal,Dorval,Station de purification Dorval (usine),X0008924,45.4453082,-73.7510888,Charbon,CHB
224,Montréal,Montréal,Station de purification Pierrefonds (usine),X0009132,45.4972159,-73.6103642,Chloration,CHL
225,Montréal,Montréal,Station de purification Pierrefonds (usine),X0009132,45.4972159,-73.6103642,Filtration,FIL
226,Montréal,Montréal,Station de purification Pierrefonds (usine),X0009132,45.4972159,-73.6103642,Ozonation,OZ
227,Saguenay—Lac-Saint-Jean,Saint-Nazaire,Poste d'eau potable de Saint-Nazaire de Chicoutimi,X0009588,48.5881118,-71.5498338,Chloration,CHL
228,Saguenay—Lac-Saint-Jean,Saint-Nazaire,Poste d'eau potable de Saint-Nazaire de Chicoutimi,X0009588,48.5881118,-71.5498338,Filtration,FIL
229,Saguenay—Lac-Saint-Jean,Saint-Nazaire,Poste d'eau potable de Saint-Nazaire de Chicoutimi,X0009588,48.5881118,-71.5498338,Ultraviolet,UB
230,Bas-Saint-Laurent,Dégelis,Station de purification Dégelis,X2114834,47.547799,-68.644638,Chloration,CHL
231,Bas-Saint-Laurent,Dégelis,Station de purification Dégelis,X2114834,47.547799,-68.644638,Filtration,FIL
232,Bas-Saint-Laurent,Dégelis,Station de purification Dégelis,X2114834,47.547799,-68.644638,Charbon,CHB
233,Montérégie,Henryville,Station purification de la Régie intermunicipale d'approv. eau potable Henryville-Venise,X1606342,45.137008,-73.191605,Chloration,CHL
234,Montérégie,Henryville,Station purification de la Régie intermunicipale d'approv. eau potable Henryville-Venise,X1606342,45.137008,-73.191605,Filtration,FIL
235,Montérégie,Henryville,Station purification de la Régie intermunicipale d'approv. eau potable Henryville-Venise,X1606342,45.137008,-73.191605,Charbon,CHB
236,Laurentides,Mirabel,Station de purification - Mirabel (St-Benoit - eau surface),X0009451,45.623402,-74.012489,Chloration,CHL
237,Laurentides,Mirabel,Station de purification - Mirabel (St-Benoit - eau surface),X0009451,45.623402,-74.012489,Filtration,FIL
238,Bas-Saint-Laurent,Mont-Joli,Station de purification Mont-Joli,X0009742,48.583875,-68.183899,Chloration,CHL
